,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_temp,Wind_speed
1,kutum,0.0,SD,2019-03-31,26.0,14.2,24.66,59.24,10.67
2,rikitea,36.0,PF,2019-03-31,100.0,-23.12,-134.97,76.79,16.82
3,butaritari,88.0,KI,2019-03-31,100.0,3.07,172.79,80.93,9.55
4,olhao,75.0,PT,2019-03-31,87.0,37.03,-7.84,59.0,3.36
5,chokurdakh,0.0,RU,2019-03-31,96.0,70.62,147.9,21.35,4.97
6,faya,20.0,SA,2019-03-31,71.0,18.39,42.45,59.0,11.41
7,ushuaia,90.0,AR,2019-03-31,87.0,-54.81,-68.31,46.4,10.29
8,puerto ayora,0.0,EC,2019-03-31,93.0,-0.74,-90.35,79.0,6.98
9,katsuura,75.0,JP,2019-03-31,66.0,33.93,134.5,50.0,11.41
10,bluff,0.0,AU,2019-03-31,47.0,-23.58,149.07,79.13,6.98
11,iqaluit,75.0,CA,2019-03-31,84.0,63.75,-68.52,-0.01,3.36
12,victoria,75.0,BN,2019-03-31,55.0,5.28,115.24,87.8,11.41
13,qaanaaq,68.0,GL,2019-03-31,79.0,77.48,-69.36,-1.79,6.42
14,geraldton,5.0,CA,2019-03-31,57.0,49.72,-86.95,23.0,8.05
15,hithadhoo,0.0,MV,2019-03-31,100.0,-0.6,73.08,83.18,5.53
16,faanui,0.0,PF,2019-03-31,100.0,-16.48,-151.75,84.08,3.74
17,magdalena,0.0,BO,2019-03-31,83.0,-13.26,-64.05,78.68,3.18
18,kaitangata,32.0,NZ,2019-03-31,37.0,-46.28,169.85,62.01,18.01
19,teya,40.0,MX,2019-03-31,74.0,21.05,-89.07,78.8,4.7
20,saskylakh,44.0,RU,2019-03-31,92.0,71.97,114.09,26.39,13.24
21,palma di montechiaro,64.0,IT,2019-03-31,93.0,37.19,13.77,37.0,3.74
22,arraial do cabo,20.0,BR,2019-03-31,98.0,-22.97,-42.02,74.99,3.62
23,norman wells,90.0,CA,2019-03-31,94.0,65.28,-126.83,32.0,12.75
24,tasiilaq,88.0,GL,2019-03-31,73.0,65.61,-37.64,23.0,4.7
25,mataura,80.0,NZ,2019-03-31,77.0,-46.19,168.86,51.01,4.0
26,albany,75.0,US,2019-03-31,64.0,42.65,-73.75,37.0,12.75
27,kirovsk,76.0,RU,2019-03-31,74.0,67.62,33.66,23.87,9.22
28,port blair,20.0,IN,2019-03-31,70.0,11.67,92.75,86.0,3.36
29,kapit,12.0,MY,2019-03-31,70.0,2.02,112.94,84.8,2.84
30,khatanga,88.0,RU,2019-03-31,97.0,71.98,102.47,30.53,6.64
31,yatou,20.0,CM,2019-03-31,88.0,3.63,9.81,77.0,3.36
32,barrow,44.0,AR,2019-03-31,60.0,-38.31,-60.23,68.15,7.76
33,san patricio,76.0,PY,2019-03-31,72.0,-26.98,-56.83,78.41,3.96
34,bayir,0.0,TR,2019-03-31,70.0,37.27,28.22,46.4,5.82
35,andilamena,36.0,MG,2019-03-31,92.0,-17.01,48.57,60.05,2.17
36,atuona,20.0,PF,2019-03-31,100.0,-9.8,-139.03,82.28,12.01
37,skeldon,24.0,GY,2019-03-31,96.0,5.88,-57.13,79.76,12.46
38,gorin,1.0,US,2019-03-31,80.0,40.36,-92.02,36.0,4.7
39,nsoko,68.0,ZA,2019-03-31,93.0,-27.07,31.93,64.1,3.18
40,airai,8.0,TL,2019-03-31,55.0,-8.93,125.41,83.81,1.72
41,hobyo,92.0,SO,2019-03-31,85.0,5.35,48.53,80.03,9.22
